2014-10-03 23:14:05 status unpacked libblkid1:armhf 2.20.1-5.3
2014-10-03 23:14:05 status unpacked libblkid1:armhf 2.20.1-5.3
2014-10-03 23:14:05 install libbz2-1.0:armhf <none> 1.0.6-4
2014-10-03 23:14:05 status half-installed libbz2-1.0:armhf 1.0.6-4
2014-10-03 23:14:05 status unpacked libbz2-1.0:armhf 1.0.6-4
2014-10-03 23:14:05 status unpacked libbz2-1.0:armhf 1.0.6-4
2014-10-03 23:14:06 install libc-bin:armhf <none> 2.13-38+rpi2+deb7u3
2014-10-03 23:14:06 status half-installed libc-bin:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:14:06 status unpacked libc-bin:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:14:06 status unpacked libc-bin:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:14:06 upgrade libc6:armhf 2.13-38+rpi2+deb7u3 2.13-38+rpi2+deb7u3
2014-10-03 23:14:06 status half-configured libc6:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:14:06 status unpacked libc6:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:14:06 status half-installed libc6:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:14:09 status half-installed libc6:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:14:09 status unpacked libc6:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:14:09 status unpacked libc6:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:14:10 install libcomerr2:armhf <none> 1.42.5-1.1
2014-10-03 23:14:10 status half-installed libcomerr2:armhf 1.42.5-1.1
2014-10-03 23:14:10 status unpacked libcomerr2:armhf 1.42.5-1.1
2014-10-03 23:14:10 status unpacked libcomerr2:armhf 1.42.5-1.1
2014-10-03 23:14:10 install libdb5.1:armhf <none> 5.1.29-5
2014-10-03 23:14:10 status half-installed libdb5.1:armhf 5.1.29-5
2014-10-03 23:14:10 status unpacked libdb5.1:armhf 5.1.29-5
2014-10-03 23:14:10 status unpacked libdb5.1:armhf 5.1.29-5
2014-10-03 23:14:10 install libdbus-1-3:armhf <none> 1.6.8-1+deb7u4
2014-10-03 23:14:10 status half-installed libdbus-1-3:armhf 1.6.8-1+deb7u4
2014-10-03 23:14:10 status unpacked libdbus-1-3:armhf 1.6.8-1+deb7u4
2014-10-03 23:14:10 status unpacked libdbus-1-3:armhf 1.6.8-1+deb7u4
2014-10-03 23:14:10 install libgcc1:armhf <none> 1:4.7.2-5+rpi1
2014-10-03 23:14:10 status half-installed libgcc1:armhf 1:4.7.2-5+rpi1
2014-10-03 23:14:10 status unpacked libgcc1:armhf 1:4.7.2-5+rpi1
2014-10-03 23:14:10 status unpacked libgcc1:armhf 1:4.7.2-5+rpi1
2014-10-03 23:14:10 install libklibc:armhf <none> 2.0.1-3.1+rpi1
2014-10-03 23:14:10 status half-installed libklibc:armhf 2.0.1-3.1+rpi1
2014-10-03 23:14:11 status unpacked libklibc:armhf 2.0.1-3.1+rpi1
2014-10-03 23:14:11 status unpacked libklibc:armhf 2.0.1-3.1+rpi1
2014-10-03 23:14:11 install libkmod2:armhf <none> 9-3
2014-10-03 23:14:11 status half-installed libkmod2:armhf 9-3
2014-10-03 23:14:11 status unpacked libkmod2:armhf 9-3
2014-10-03 23:14:11 status unpacked libkmod2:armhf 9-3
2014-10-03 23:14:11 install liblocale-gettext-perl:armhf <none> 1.05-7
2014-10-03 23:14:11 status half-installed liblocale-gettext-perl:armhf 1.05-7
